x,y,z
-9,15,-1011
-23,1,-1013
-27,31,-1020
-11,27,-1013
-17,11,-1015
-19,35,-1013
0,-3,-1009
-37,27,-1015
3,29,-1005
-21,13,-1016
-15,25,-1016
-13,9,-1016
-3,5,-1016
-33,39,-1001
-11,1,-1016
-21,35,-1016
-11,17,-1009
-21,21,-1015
-11,39,-1016
-9,13,-1011
-33,17,-1028
-11,19,-1007
-15,13,-1013
-19,35,-1015
-5,13,-1016
-11,11,-1011
-35,25,-1015
-1,0,-1009
-25,31,-1016
-19,21,-1011
-11,5,-1015
-19,33,-1024
-5,5,-1011
-11,33,-1024
-17,29,-1005
-17,7,-1022
-1,31,-1001
-29,21,-1020
1,11,-1009
-27,42,-1016
-9,7,-1007
-21,27,-1016
-9,15,-1016
-21,7,-1018
-5,35,-1016
-17,5,-1026
-15,9,-1020
3,19,-1005
-23,19,-1015
3,31,-1005
-21,23,-1030
-1,7,-1011
-9,19,-1022
-9,5,-1015
-17,37,-1022
-5,17,-1015
-23,11,-1015
-7,19,-1020
-7,9,-1016
-25,31,-1020
-3,29,-1015
-23,7,-1018
-11,25,-1013
-5,15,-1024
-21,19,-1005
-11,35,-1016
-1,19,-1016
-19,29,-1018
-3,11,-1018
-9,11,-1024
-7,40,-1013
-15,17,-1020
0,11,-1016
-9,25,-1018
-7,5,-1015
-9,39,-1016
-21,23,-1022
-17,25,-1022
-13,23,-1016
7,11,-1005
-29,33,-1020
-3,15,-1005
-21,21,-1020
-5,15,-1016
-23,19,-1018
0,15,-1009
-33,40,-1011
-21,19,-1015
-27,13,-1015
-27,25,-1018
-19,19,-1018
-15,27,-1005
-33,11,-1022
-7,23,-1011
-31,19,-1015
-13,11,-1015
-15,39,-997
-11,5,-1009
-25,15,-1009
-7,9,-1018
-27,29,-1013
-19,15,-1013
-29,29,-1007
-9,3,-1022
-27,37,-1016
-15,11,-1016
-9,27,-1007
-19,13,-1011
0,11,-1009
-27,19,-1022
-11,25,-1005
-11,15,-1011
-15,29,-1013
-17,3,-1020
-11,9,-1016
-23,33,-1018
-3,15,-1011
-5,25,-1007
-21,9,-1013
13,13,-1018
-21,23,-1028
-7,17,-1013
-17,35,-1018
-13,9,-1020
-3,21,-1005
-17,25,-1016
-19,15,-1020
-5,19,-1024
-17,19,-1011
-3,3,-1009
-11,39,-1011
-7,9,-1003
-13,27,-1013
-21,13,-1024
-7,11,-1020
-23,15,-1009
-19,21,-1011
-11,19,-1011
-35,33,-1026
9,3,-1015
-27,33,-1024
-19,25,-1015
-7,13,-1005
-21,31,-1016
-23,17,-1005
-9,17,-1020
-31,35,-1022
-7,-1,-1016
-19,37,-1015
-25,21,-1018
-1,11,-1026
-17,39,-1022
-23,21,-1007
5,23,-1018
-25,25,-1022
-23,19,-1011
-9,46,-1011
-11,39,-1020
-23,37,-1013
-19,44,-1005
-21,33,-1018
-13,40,-1022
-7,46,-1003
-23,40,-1015
-9,70,-1024
-9,46,-1011
1,54,-1013
-11,76,-1026
1,64,-1018
-29,87,-1022
-13,81,-1003
-19,99,-1013
-15,124,-1005
-9,87,-999
-37,115,-1020
-11,132,-1009
-9,140,-1005
-15,154,-1026
-7,152,-1015
-1,158,-1007
-17,177,-1007
-1,165,-1015
-19,204,-1015
-5,201,-1007
-5,197,-1015
-17,222,-1007
-29,206,-989
-23,228,-993
-15,247,-1015
-40,242,-1015
-31,255,-1015
-29,261,-1011
-11,253,-1011
-25,271,-1005
-17,249,-1005
-21,255,-1024
-19,271,-1018
-19,271,-1020
-9,316,-1028
-17,322,-1009
-15,324,-1018
-25,347,-1011
-23,361,-1022
-15,366,-1020
-15,351,-1009
-21,339,-1022
-33,363,-1016
-21,357,-1011
-25,374,-1022
-25,363,-1013
-15,327,-1028
-19,357,-1022
-11,341,-1032
-19,370,-1018
-31,372,-1018
-15,347,-1026
-17,372,-1022
-19,357,-1020
-29,333,-1028
-19,366,-1028
-15,316,-1026
-15,331,-1028
-17,331,-1018
-5,298,-1036
-21,337,-1036
-5,298,-1022
-25,288,-1036
-17,316,-1020
-11,286,-1026
-15,302,-1026
-19,279,-1024
-7,257,-1022
-3,292,-1022
-21,255,-1028
-15,255,-1024
-11,253,-1028
-7,226,-1030
-19,249,-1020
-11,228,-1024
-9,204,-1022
-23,226,-1036
-21,181,-1030
-21,195,-1028
-17,191,-1016
-11,177,-1013
-21,183,-1020
-13,158,-1013
0,163,-1015
-15,193,-1020
-9,158,-1013
-11,162,-1018
-1,142,-1005
-1,130,-1011
-21,160,-1009
-5,132,-1005
-15,162,-1011
-25,165,-1005
-11,152,-1007
-21,181,-1015
-15,169,-997
-9,175,-1016
-29,187,-1015
-17,152,-1007
-21,181,-1011
-33,179,-1003
-15,185,-1016
-37,214,-1011
-21,210,-1016
-21,216,-1016
-35,242,-1015
-25,226,-1009
-25,281,-1016
-25,273,-1016
-29,279,-1016
-37,314,-1015
-19,284,-1007
-19,294,-1015
-33,292,-1024
-23,296,-1013
-29,357,-1013
-21,347,-1011
-13,357,-1018
-33,372,-1018
-9,357,-1018
-13,400,-1024
-15,406,-1018
-11,392,-1024
-17,402,-1016
-3,384,-1026
-21,417,-1020
-17,425,-1013
-7,400,-1018
-3,417,-1020
-5,402,-1030
-15,429,-1026
-25,462,-1024
0,427,-1016
-21,427,-1032
-3,435,-1022
-11,450,-1028
-5,511,-1022
-5,443,-1032
-5,421,-1028
-11,388,-1026
7,398,-1022
-11,435,-1032
-11,419,-1020
-9,433,-1028
-21,452,-1032
-9,402,-1018
-23,396,-1022
-19,390,-1013
-9,392,-1024
-25,435,-1018
-23,363,-1026
-17,343,-1018
-13,314,-1015
-21,308,-1022
-15,310,-1020
-11,296,-1020
-35,306,-1030
-21,337,-1016
-27,298,-1009
-23,316,-1005
-27,279,-1007
-19,271,-1015
-29,290,-1016
-17,277,-1003
-5,255,-1016
-11,203,-1016
-19,187,-1020
-17,267,-1016
-13,284,-1007
-3,222,-1009
-35,181,-1015
-17,171,-1003
-7,261,-1011
-17,286,-1011
-17,183,-1016
-19,169,-1009
-21,177,-1003
-7,226,-1007
-23,261,-1003
-13,169,-1028
-1,156,-1018
-27,152,-1015
-21,185,-1018
-33,259,-1011
0,204,-1011
-25,177,-1020
-21,162,-1011
-13,165,-1024
-13,251,-1024
-9,232,-1011
-23,199,-1016
-9,193,-1005
-9,199,-1011
-25,257,-1020
-13,251,-1009
-11,218,-1020
-3,234,-1013
-11,232,-1011
-21,277,-1020
-9,279,-1016
-21,249,-1016
-21,308,-1015
-27,325,-1011
-7,312,-1020
-27,347,-1020
-17,314,-1016
-21,357,-1026
-17,357,-1020
-19,341,-1032
-27,384,-1015
-39,368,-1016
-9,382,-1011
-27,417,-1022
-17,402,-1022
-35,447,-1036
-25,417,-1026
-9,411,-1032
-33,462,-1013
-27,439,-1013
-19,466,-1020
-9,458,-1022
-21,433,-1020
-27,433,-1032
-33,411,-1030
-15,427,-1026
-33,464,-1016
-27,425,-1034
-21,456,-1022
-21,458,-1013
-29,407,-1026
-46,427,-1032
-35,398,-1024
-42,423,-1028
-40,421,-1022
-7,353,-1028
-25,376,-1024
-13,411,-1011
-5,413,-1028
-15,382,-1028
0,329,-1032
-9,345,-1024
-17,382,-1018
-7,359,-1016
-11,407,-1022
-17,374,-1013
-15,341,-1018
-17,306,-1018
-15,310,-1009
-5,384,-999
-1,331,-1005
-3,277,-1015
-15,281,-1018
3,314,-1015
-5,331,-1024
-17,281,-1009
-7,220,-1016
-23,300,-1020
0,324,-1005
-25,318,-1024
-9,238,-1005
-17,212,-1007
-15,228,-1011
-39,259,-1013
-11,232,-1003
-23,283,-1020
-1,232,-1011
-23,257,-1020
-19,220,-1026
-31,195,-1022
-21,251,-1018
-21,220,-1011
-19,242,-1016
-15,247,-1020
-31,277,-1030
-15,261,-1046
-29,257,-1026
-7,199,-1026
-21,267,-1005
-27,255,-1005
-23,281,-1015
-33,296,-1020
-7,261,-1026
-7,265,-1016
-17,234,-1015
-15,232,-1013
-9,308,-997
-5,296,-1013
-3,290,-1028
-3,275,-1015
-9,220,-1028
-23,263,-1020
-17,255,-1007
-15,288,-1001
-21,333,-993
-11,314,-1015
-19,372,-1018
-27,351,-1015
-35,327,-1028
-46,324,-1015
0,292,-991
-15,318,-1015
-11,357,-1028
-7,345,-1038
-17,400,-1036
-7,341,-1022
0,312,-1020
-35,370,-1020
3,400,-1018
-31,497,-1011
-17,458,-1009
-17,370,-1030
-11,398,-1028
-31,378,-1028
-11,443,-1026
-23,419,-1024
-9,384,-1032
-5,407,-1026
-19,366,-1038
-15,357,-1040
-15,398,-1022
-1,365,-1026
-21,450,-1026
-15,425,-1015
-13,390,-1040
-13,390,-1028
-17,337,-1036
-17,386,-1032
-19,386,-1018
-9,386,-1024
-27,386,-1024
-25,368,-1028
-37,339,-1028
-23,357,-1022
-31,308,-1028
-23,366,-997
-15,363,-1005
-5,324,-999
-23,329,-1022
-21,294,-1032
-19,359,-1016
-9,365,-1005
0,296,-1018
-19,308,-1015
-31,324,-1015
-15,327,-1003
-31,318,-1013
-13,273,-1015
-37,275,-1026
-19,236,-1007
-31,195,-1009
-17,261,-1007
-23,320,-995
1,335,-991
-29,308,-1007
-3,230,-1015
-19,308,-1007
5,298,-999
-13,294,-1007
-13,316,-1016
-11,265,-1020
-7,324,-1015
-9,265,-1018
-9,210,-1018
-31,275,-1005
-11,284,-1009
-27,331,-1015
-33,376,-1013
-39,304,-1013
-21,333,-1018
-37,337,-1020
9,288,-1007
-19,302,-1020
9,228,-1032
5,298,-1028
11,316,-1020
-11,306,-1030
3,302,-1018
-23,302,-1022
-11,310,-1016
-35,382,-1011
-25,392,-1016
-29,419,-1032
-23,365,-1016
-33,316,-1020
-33,312,-1009
-1,271,-1028
-17,281,-1028
-23,277,-1024
11,290,-1016
-11,366,-1032
-17,329,-1028
-11,267,-1040
-29,263,-1036
-3,277,-1009
-19,349,-1005
5,388,-995
33,320,-1003
-11,361,-1026
-5,316,-1024
-1,296,-1032
-11,316,-1026
-21,242,-1020
-27,275,-1015
-17,251,-1024
-37,232,-1020
-35,257,-1030
-35,181,-1036
-31,249,-1022
-19,290,-1001
-39,325,-1015
-13,325,-1009
-13,204,-1015
-11,136,-1034
-25,177,-1009
-15,193,-1013
-3,222,-1013
3,150,-1018
-19,124,-1018
-33,163,-1030
-11,148,-1015
-29,154,-1013
-44,160,-1018
-39,165,-1013
-44,185,-1007
-42,148,-1011
-31,60,-1016
-40,103,-999
-5,74,-1013
-3,89,-1024
-21,5,-1040
-13,-31,-1022
-19,-3,-1026
15,35,-997
13,70,-999
-11,158,-1015
13,152,-1013
-3,138,-1015
-21,33,-1016
-15,-19,-1009
-29,9,-999
0,17,-995
-31,52,-1026
-27,37,-1022
5,-7,-1016
-11,-42,-1032
-39,-42,-1026
5,33,-995
-7,138,-1009
-3,50,-1038
-25,31,-1038
-37,0,-1015
-21,66,-1001
-3,48,-993
-1,-25,-1001
-11,-19,-993
23,23,-1003
-25,56,-1024
-27,56,-1022
-17,-5,-1015
-17,-54,-1015
-33,11,-1009
-7,46,-999
-35,187,-1022
-15,183,-1003
1,115,-1024
-9,29,-1028
-19,21,-1015
13,-19,-1018
-9,-23,-1024
-21,25,-1011
5,91,-1007
5,99,-1007
-23,117,-1011
0,27,-1020
-23,29,-1032
-25,152,-1024
-9,290,-1020
-33,283,-1018
-31,234,-993
0,78,-993
-31,9,-1024
-35,85,-1015
-11,162,-1024
-37,197,-1009
-19,121,-1001
-7,-7,-1013
-42,42,-1009
-25,191,-1013
-21,318,-1022
-35,329,-1018
-35,171,-1015
-17,132,-1009
-19,76,-1011
-19,232,-1016
-23,286,-1011
-31,185,-1020
-31,15,-1038
-25,-13,-1034
-29,121,-1003
-3,244,-981
-17,212,-997
5,99,-1024
-44,40,-1050
-33,99,-1050
3,179,-1038
-19,247,-1005
11,156,-993
29,89,-985
15,7,-1042
-9,111,-1044
7,111,-1048
-1,39,-1018
11,39,-995
-5,68,-985
-17,122,-1009
-29,152,-1020
-21,89,-1046
-44,85,-1020
-7,76,-1005
-25,87,-1001
-7,146,-997
0,-19,-999
-29,-81,-1044
-23,-91,-1036
-1,-95,-1030
-42,-19,-1013
23,-66,-991
-7,-101,-995
-15,-19,-1005
-13,81,-1022
-35,119,-1032
-44,42,-1015
-1,-80,-1001
-25,-76,-985
-19,-48,-983
-25,-3,-1016
-27,-15,-1015
-13,-117,-1028
0,-181,-1009
0,-169,-983
-3,-81,-991
-3,60,-995
-9,132,-1016
-35,80,-1026
-9,-95,-1011
7,-214,-999
-5,-111,-1007
0,5,-1015
-3,158,-1005
-13,39,-1015
-17,-56,-1016
-19,-146,-1015
-23,-48,-987
-13,-21,-1016
-40,105,-1030
-19,109,-1013
-35,105,-1007
-46,107,-1001
11,44,-991
-31,-35,-1038
-21,-54,-1024
-17,-19,-1028
-11,54,-1003
-21,80,-1007
0,66,-1016
-15,-15,-1024
-46,-15,-1032
-33,44,-1052
-23,156,-1018
-23,220,-991
-15,199,-993
-11,70,-991
-15,74,-1018
-1,87,-1042
5,9,-1032
-25,-23,-1042
17,-9,-1016
13,78,-1005
9,144,-1011
31,99,-1034
3,37,-1050
-21,101,-1040
-15,187,-1056
-7,294,-1011
-37,249,-1005
-9,187,-985
-17,0,-1024
-17,19,-1034
-35,72,-1057
-25,183,-1022
-23,119,-1038
-1,13,-1001
-3,-52,-1005
-17,80,-1022
-25,267,-1038
-19,294,-1026
-39,234,-1020
-3,-23,-1016
-31,-39,-1022
-21,111,-999
-13,226,-1018
-33,224,-1016
-21,-40,-1042
-29,-107,-1028
-11,-60,-1009
-33,109,-1001
-7,158,-997
-15,62,-1026
-42,-70,-1036
-40,-39,-1018
-13,58,-1007
9,195,-991
7,167,-991
42,-39,-1001
-13,-50,-1036
-7,-5,-1028
-5,66,-999
0,-21,-1015
-19,-66,-1007
-11,-52,-997
-21,-46,-1007
-54,70,-1034
-21,31,-1018
-50,62,-1003
1,-44,-995
-33,5,-993
-9,-25,-1015
0,-19,-1005
-21,-117,-1038
-1,-152,-1038
-27,-109,-1030
1,-64,-983
-15,-54,-1015
0,-81,-1005
-39,-60,-1028
-25,27,-1009
-44,68,-1018
-42,11,-1003
-37,-46,-977
-27,-81,-976
-7,-76,-1007
-25,-48,-1024
7,-44,-1011
0,-60,-1011
13,-111,-1003
17,-81,-991
13,-5,-1015
13,91,-1009
-23,115,-1007
7,-46,-1005
-29,-83,-1022
7,-48,-999
-23,25,-1020
-37,142,-1007
-15,99,-987
-23,-15,-995
-27,-37,-989
0,-31,-1011
-33,-9,-1028
-13,3,-1038
-3,70,-1034
-13,187,-1013
5,203,-989
21,142,-1001
-1,-23,-1061
-11,-37,-1059
-19,7,-1050
-23,162,-1015
-15,160,-1007
-42,122,-999
-50,-5,-1016
-35,-42,-1007
-66,40,-1050
-42,124,-1030
-37,251,-1001
11,150,-999
-9,138,-1016
-1,91,-1032
11,158,-1028
3,97,-1036
21,-25,-1028
-13,-46,-1036
17,64,-1015
-23,148,-1020
7,146,-1016
-19,35,-1024
-39,40,-1016
-23,99,-1026
-52,212,-1018
-23,197,-1011
-19,140,-976
-3,-27,-985
-11,27,-1024
-15,81,-1042
-7,87,-1056
3,46,-1036
27,-21,-1015
9,54,-1005
-13,150,-989
-21,187,-1024
-27,158,-1022
-46,5,-1034
-17,-39,-1003
-35,-21,-1011
-31,76,-1005
-46,177,-1005
-44,37,-1007
-15,-132,-1015
0,-152,-1013
-13,-25,-1007
11,146,-1003
-11,144,-1032
-7,5,-1034
-13,-83,-1016
-17,-19,-999
13,72,-991
-7,160,-1005
-3,13,-1022
-33,-52,-1030
-17,-119,-1013
-21,-44,-1001
-21,-33,-993
-11,-68,-993
-27,-70,-1009
-9,-50,-1020
-39,0,-1011
3,39,-997
-1,35,-1007
13,-35,-1013
-11,-19,-1028
1,5,-1032
0,46,-1022
17,-62,-1022
-25,-113,-1001
-21,-175,-1016
-35,-91,-1016
-40,-81,-1032
-44,-44,-999
-23,-48,-997
-27,9,-1009
-40,44,-1001
-29,35,-1020
-25,21,-1013
27,-44,-1005
7,-46,-1001
19,-48,-1013
9,-40,-1026
0,-50,-1052
-7,-85,-1028
-5,-144,-1005
-11,-64,-985
1,64,-993
-44,150,-1028
-42,107,-1024
-31,-66,-1022
7,-144,-989
-7,-89,-995
25,0,-1005
-5,109,-1028
9,1,-1046
-35,-64,-1020
11,-158,-1003
-17,-128,-1007
-5,-105,-1032
-13,-21,-1036
-33,68,-1046
-48,152,-1009
-9,19,-993
-29,-91,-1009
-15,-242,-1028
-27,-165,-1040
-25,-35,-1028
-27,-9,-1015
-11,-109,-991
-11,-275,-1005
-21,-318,-1024
-19,-152,-1032
-19,-42,-1052
-27,-23,-1030
-23,-60,-1007
1,-212,-999
-40,-152,-1009
-1,-154,-1015
0,-156,-1018
-13,-216,-1022
-7,-263,-1011
1,-201,-997
-17,-197,-1005
-9,-283,-1026
-1,-335,-1018
-5,-283,-1024
-11,-171,-1003
5,-126,-983
3,-263,-1005
-11,-261,-1038
-13,-281,-1028
-21,-203,-1011
-19,-218,-999
-9,-257,-989
-17,-255,-993
-29,-245,-1005
-15,-277,-1034
-27,-203,-1022
-11,-306,-1003
1,-337,-993
3,-384,-999
9,-384,-1024
-17,-255,-1034
-11,-257,-1034
-11,-251,-1016
-19,-316,-1007
-25,-281,-1007
-21,-247,-991
-23,-204,-1015
-40,-189,-1026
-37,-156,-1001
-27,-212,-985
-13,-185,-1003
-27,-249,-1011
-13,-273,-1007
-7,-257,-1009
5,-253,-1018
11,-195,-1013
-7,-140,-1007
7,-197,-1022
-11,-171,-1026
-23,-146,-1015
-7,-144,-1013
-19,-121,-1007
-25,-171,-1018
-11,-167,-993
-21,-152,-1011
5,-136,-1016
11,-115,-1022
-21,-91,-1028
-23,-146,-1005
-5,-76,-993
-11,-138,-1034
-23,-64,-1016
-21,-101,-1028
-11,-113,-1036
-11,-93,-1022
-17,-103,-1011
-11,-130,-1022
-1,-158,-1013
5,-156,-1020
-15,-95,-1009
-13,-76,-999
-9,-97,-1011
-23,-119,-1024
-15,-220,-1022
-37,-212,-1044
-21,-179,-1009
-11,-195,-1005
-21,-142,-1016
-7,-199,-1015
-15,-177,-1034
-19,-152,-1028
-15,-169,-1013
-19,-150,-1005
-7,-173,-1005
-19,-142,-997
-17,-144,-1003
-19,-257,-1005
-3,-349,-993
7,-402,-1001
-5,-341,-1015
3,-247,-1009
5,-267,-1013
15,-329,-1042
0,-300,-1011
-13,-296,-1007
-15,-144,-1005
-13,-130,-999
-29,-148,-981
-44,-224,-979
-11,-318,-997
-27,-320,-1009
-29,-292,-1007
-7,-347,-1001
0,-339,-993
17,-417,-987
11,-376,-1016
0,-366,-1030
0,-363,-1040
-5,-283,-1034
5,-277,-1020
-17,-279,-999
-25,-271,-999
-17,-273,-985
-19,-230,-999
-25,-228,-987
-1,-316,-1007
-29,-341,-1015
-29,-398,-1013
-21,-343,-1013
-9,-265,-1001
-1,-292,-1016
5,-290,-1016
-1,-292,-1038
-3,-310,-1057
0,-240,-1040
-15,-255,-1009
-1,-204,-993
-5,-210,-993
-35,-242,-1005
-33,-281,-999
-13,-322,-1009
-15,-292,-1011
-1,-201,-987
-21,-197,-1001
3,-220,-1007
-23,-206,-1016
-3,-230,-1024
-23,-136,-1013
-17,-134,-1016
-1,-150,-1018
-17,-183,-1009
-15,-245,-1005
-13,-242,-1011
1,-242,-1020
-17,-228,-1024
-5,-197,-1007
-7,-224,-1028
-25,-232,-1020
-17,-210,-1011
-13,-257,-1018
-29,-136,-1024
-25,-126,-1016
-15,-138,-1018
-35,-128,-1013
11,-195,-993
-7,-187,-1016
11,-263,-1007
-5,-240,-1020
11,-255,-1013
-7,-271,-1018
-13,-302,-1013
-19,-327,-1009
-9,-337,-1016
-25,-265,-1024
-27,-203,-1018
-27,-163,-1003
-13,-152,-999
-21,-204,-1005
-33,-177,-1009
-25,-259,-1013
-17,-244,-1024
-7,-154,-1001
-17,-181,-995
3,-228,-1003
-5,-337,-1013
0,-351,-1018
5,-304,-1024
-15,-224,-1018
-7,-242,-1011
-21,-242,-1007
-7,-253,-1011
-25,-201,-1003
-23,-210,-1001
-9,-265,-1007
-23,-257,-1005
-11,-286,-1001
-19,-283,-1007
-3,-290,-1007
-11,-337,-1024
-3,-306,-1007
5,-296,-1003
1,-316,-1005
-3,-244,-1020
-9,-216,-1015
0,-191,-1001
-9,-232,-993
0,-312,-1016
-37,-265,-1003
-21,-253,-1007
-5,-247,-1016
-9,-265,-1005
-5,-333,-1007
-23,-310,-1011
-21,-292,-1020
-15,-308,-1022
-21,-267,-1020
-5,-267,-999
0,-257,-1009
-11,-257,-1009
-33,-275,-1028
3,-261,-1015
-1,-271,-1015
21,-290,-1016
-25,-281,-1001
-7,-320,-1003
-1,-296,-1011
-7,-286,-1005
-19,-316,-1007
-15,-269,-1015
-35,-273,-1013
-23,-220,-1013
-46,-228,-997
-29,-275,-995
-13,-286,-1003
-9,-286,-1015
-15,-271,-1016
-5,-204,-1009
-5,-230,-1005
-3,-247,-1001
-15,-306,-997
-19,-365,-1007
-37,-269,-1016
-13,-226,-1013
-23,-197,-995
-21,-238,-1007
7,-284,-1005
-27,-247,-1022
-7,-249,-1015
0,-253,-1022
0,-191,-1007
3,-228,-1011
-21,-216,-1020
-1,-255,-1022
-7,-292,-1013
-15,-261,-1013
-15,-269,-1009
-21,-244,-1015
-19,-204,-1009
-9,-204,-1015
-21,-216,-1022
-17,-255,-1018
-1,-267,-1018
-15,-214,-1016
-5,-247,-1015
-17,-214,-1011
7,-244,-1016
0,-277,-1018
-21,-290,-1013
-15,-273,-1013
-9,-255,-1020
-15,-175,-1003
-1,-242,-995
-1,-261,-1003
-3,-310,-1009
-7,-288,-1015
-5,-201,-1007
-13,-216,-1009
-7,-253,-1011
-19,-275,-1003
-33,-302,-1007
-23,-249,-1024
-23,-253,-1003
-23,-269,-1018
-27,-245,-995
-25,-277,-1007
-19,-232,-1005
0,-277,-1005
-11,-283,-1022
-9,-255,-1015
-3,-220,-985
-15,-236,-1011
-11,-251,-999
-1,-292,-1015
-21,-249,-1009
-21,-267,-1005
-27,-267,-1011
-11,-277,-1011
-1,-300,-1005
-7,-294,-1015
-19,-263,-1024
-3,-283,-1015
-15,-265,-1009
-11,-279,-1013
-3,-269,-1005
-25,-275,-1005
-5,-290,-1013
-15,-269,-999
-21,-251,-1015
-27,-265,-1011
0,-259,-1009
-13,-290,-1013
-7,-255,-1024
-7,-222,-991
5,-292,-1011
-7,-267,-1009
-21,-290,-1016
0,-244,-1018
7,-230,-1016
0,-288,-1015
-9,-281,-1016
-13,-271,-997
-7,-265,-1018
-13,-245,-1022
-11,-294,-1020
-15,-281,-1026
-13,-240,-1011
-5,-245,-999
-3,-269,-1009
-19,-302,-1005
-3,-306,-1022
-9,-249,-1005
-21,-224,-1007
-13,-216,-997
-5,-267,-1005
-9,-296,-993
-25,-279,-1011
-13,-277,-1007
0,-244,-1001
-15,-224,-1003
-15,-271,-1005
-9,-261,-1020
-15,-245,-1015
-9,-226,-1018
-27,-175,-1007
5,-245,-1016
-17,-259,-1028
-17,-251,-1015
-13,-242,-1013
-11,-236,-995
0,-273,-1009
-17,-279,-1018
-19,-281,-1018
-7,-296,-1024
-9,-265,-1018
-9,-238,-1005
-1,-224,-1015
-19,-206,-1018
-7,-271,-1022
-15,-251,-1015
-17,-253,-1013
-21,-257,-1003
-5,-245,-1003
-21,-271,-1007
-21,-292,-1011
-13,-275,-1009
3,-308,-1011
-7,-275,-1015
-17,-236,-1009
-11,-247,-1009
-17,-232,-1007
-1,-257,-1013
-17,-230,-1011
-13,-238,-1013
-13,-247,-1018
-23,-216,-1015
-21,-222,-1011
7,-247,-1015
-5,-281,-1016
0,-302,-1024
-11,-236,-1024
-11,-214,-1013
-7,-240,-1015
-21,-224,-1028
-21,-247,-1015
-21,-206,-1013
-3,-167,-1018
-5,-179,-1018
-13,-175,-1016
-11,-204,-1003
-1,-220,-1009
-13,-162,-1011
-3,-177,-1007
-9,-185,-1011
-1,-197,-1011
-9,-181,-1013
-23,-93,-1005
-11,-101,-1001
-9,-122,-1018
-13,-119,-1003
-19,-122,-1001
-25,-62,-1007
1,-74,-1016
-11,-97,-1003
-19,-91,-1001
-17,-95,-1005
-13,-62,-1011
-21,-44,-1001
-25,-64,-1013
-23,-64,-1005
1,-48,-1007
-27,-42,-1022
-31,-7,-1001
-13,-13,-1001
-17,5,-1015
-21,-19,-1018
